presyn_cell_group,postsyn_cell_group,synapses,synapse_fraction
SNnuchBx,MBmouth.young.1360479,0,0
SNnuchBx,INtorii,0,0
SNnuchBx,INUturnMB,0,0
SNnuchBx,IN.1301924,0,0
SNnuchBx,INMBdesc3,0,0
SNnuchBx,INMBdesc2,0,0
SNnuchBx,INpara,0,0
SNnuchBx,Ser.h1,0,0
SNnuchBx,MC,0,0
SNnuchBx,MNant,0,0
SNnuchBx,MN3,0,0
SNnuchBx,MN1,0,0
SNnuchBx,MN2,0,0
SNnuchBx,MNakro,0,0
SNnuchBx,MNgland.head,0,0
SNnuchBx,MNheadV,0,0
SNgolden,PRC,0,0
SNgolden,cPRC,0,0
SNgolden,SNnuchPDF,1,0.011904761904761904
SNgolden,SNnuchNS,0,0
SNgolden,SNnuchBx,0,0
SNgolden,SNgolden,1,1
SNgolden,SNhorn,0,0
SNgolden,SNhook,0,0
SNgolden,SNlasso,1,0.16666666666666666
SNgolden,SNMIP.vc,0,0
SNgolden,SNmus,0,
SNgolden,SNantlerPDF,0,0
SNgolden,SNPDF.dcl1,0,0
SNgolden,SN.DLSO1.2,0,0
SNgolden,SN.DLSO,0,0
SNgolden,SN.DLSO1.2.1,5,0.5
SNgolden,SN.DLSO2l,0,0
SNgolden,SNMB2,0,0
SNgolden,eyespot.PRCR3,0,0
SNgolden,eyespot.PRCR1,0,0
SNgolden,MS1,0,0
SNgolden,MS2,0,0
SNgolden,MS3,0,0
SNgolden,SN.ASTC,0,0
SNgolden,SN.DLSO3.PDF,0,0
SNgolden,SN.DLSO3,0,0
SNgolden,SN.IRP2.burs,0,0
SNgolden,SN.IRP2.FMRF,0,0
SNgolden,SN.MIP4,0,0
SNgolden,SN.MIP1,0,0
SNgolden,SN.WLD,0,0
SNgolden,SN.DSO17,0,0
SNgolden,SNbicil,0,0
SNgolden,SNasym,0,0
SNgolden,SN47Ach,0,0
SNgolden,dsoNPB1unp,0,0
SNgolden,antPUc,0,0
SNgolden,hPUc1,0,0
SNgolden,hPUc,0,0
SNgolden,dsoPUc1unp,0,0
SNgolden,hPU2l.asymPDF,0,0
SNgolden,hCR2,0,0
SNgolden,SN.DLSO1.0,0,0
SNgolden,SN.NS1,0,0
SNgolden,SN.NS3,0,0
SNgolden,SN.NS4,0,0
SNgolden,SN.NS15,0,0
SNgolden,SNaant,0,0
SNgolden,SN.NS22,0,0
SNgolden,SN.NS5,0,0
SNgolden,SN.NS17,0,0
SNgolden,SN.YF5cil,0,0
SNgolden,SN.NS19,1,0.014285714285714285
SNgolden,SN.NS20,0,0
SNgolden,SN.NS6,0,
SNgolden,SN.NS29,0,0
SNgolden,SN.NS27,0,0
SNgolden,SN.NS18,0,0
SNgolden,SN.NS16,0,0
SNgolden,SNadNS22,0,0
SNgolden,SNblunt,0,0
SNgolden,SN.DLSO1.3,0,0
SNgolden,SNbronto,0,0
SNgolden,SN.DLSO1.1NP,4,0.16
SNgolden,SN.DLSO1.1,0,0
SNgolden,SNtorii,0,0
SNgolden,SNtrpa,0,0
SNgolden,IN1,0,0
SNgolden,INton,0,0
SNgolden,INpreSer,0,0
SNgolden,INRGWa,0,0
SNgolden,INNOS,0,0
SNgolden,cMNPDF.vcl1,0,0
SNgolden,cMNATO,0,0
SNgolden,cMNdc..PDF,0,0
SNgolden,INlasso,0,0
SNgolden,INdecussPre,0,0
SNgolden,INpreMN,0,0
SNgolden,MC2biax.1,0,0
SNgolden,INCrossbow,0,0
SNgolden,INarc1,0,0
SNgolden,INarc2,0,0
SNgolden,INsn,0,0
SNgolden,INrope,0,0
SNgolden,INMC3,0,0
